case_id,source_dataset,benchmark_record_id,original_index,vc_description,vc_preamble,vc_spec,scanner_confidence,scanner_gap_category,scanner_reason,existing_status,candidate_priority_rank,direct_dafny_exists,adapted_demo_exists,existing_case_dir,scanner_score
DA0136,apps,DA0136,apps_test_682,"Given starting position (r1, c1) and ending position (r2, c2) on an 8×8 chessboard,
find the minimum number of moves required for a rook, bishop, and king to move from
the starting position to the ending position. Return 0 if a piece cannot reach the destination.","predicate ValidPosition(r: int, c: int)
{
    1 <= r <= 8 && 1 <= c <= 8
}

function RookMoves(r1: int, c1: int, r2: int, c2: int): int
    requires ValidPosition(r1, c1) && ValidPosition(r2, c2)
{
    if r1 == r2 && c1 == c2 then 0
    else if r1 == r2 || c1 == c2 then 1
    else 2
}

function BishopMoves(r1: int, c1: int, r2: int, c2: int): int
    requires ValidPosition(r1, c1) && ValidPosition(r2, c2)
{
    if r1 == r2 && c1 == c2 then 0
    else 
        var row_diff := if r1 >= r2 then r1 - r2 else r2 - r1;
        var col_diff := if c1 >= c2 then c1 - c2 else c2 - c1;
        if row_diff == col_diff then 1
        else if (r1 + c1) % 2 == (r2 + c2) % 2 then 2
        else 0
}

function KingMoves(r1: int, c1: int, r2: int, c2: int): int
    requires ValidPosition(r1, c1) && ValidPosition(r2, c2)
{
    var row_diff := if r1 >= r2 then r1 - r2 else r2 - r1;
    var col_diff := if c1 >= c2 then c1 - c2 else c2 - c1;
    if row_diff >= col_diff then row_diff else col_diff
}

predicate ValidResult(result: seq<int>, r1: int, c1: int, r2: int, c2: int)
    requires ValidPosition(r1, c1) && ValidPosition(r2, c2)
{
    |result| == 3 &&
    result[0] == RookMoves(r1, c1, r2, c2) &&
    result[1] == BishopMoves(r1, c1, r2, c2) &&
    result[2] == KingMoves(r1, c1, r2, c2)
}","method solve(r1: int, c1: int, r2: int, c2: int) returns (result: seq<int>)
    requires ValidPosition(r1, c1) && ValidPosition(r2, c2)
    ensures ValidResult(result, r1, c1, r2, c2)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,1,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0136,14
DA0152,apps,DA0152,apps_test_755,"Find the minimum number of steps to move from position 0 to position x on a number line,
where each step can move forward by 1, 2, 3, 4, or 5 positions.","predicate ValidInput(x: int)
{
  x >= 1
}

predicate IsMinimalSteps(x: int, steps: int)
  requires x >= 1
{
  steps >= 1 &&
  steps * 5 >= x &&
  (steps - 1) * 5 < x
}",,high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,2,False,False,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0152,14
DA0157,apps,DA0157,apps_test_785,"Given a rectangular room with dimensions a × b meters, accommodate exactly n students 
such that each student has at least 6 square meters of space. You can increase either 
or both dimensions by any positive integer amount. Find the minimum possible area and 
corresponding dimensions.","predicate ValidInput(n: int, a: int, b: int)
{
  n > 0 && a > 0 && b > 0
}

predicate ValidOutput(result: seq<int>, n: int, a: int, b: int)
{
  |result| == 3 &&
  result[0] >= 6 * n &&
  result[1] > 0 && result[2] > 0 &&
  result[0] == result[1] * result[2] &&
  ((result[1] >= a && result[2] >= b) || (result[1] >= b && result[2] >= a))
}","method solve(n: int, a: int, b: int) returns (result: seq<int>)
  requires ValidInput(n, a, b)
  ensures ValidOutput(result, n, a, b)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,3,True,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0157,14
DA0306,apps,DA0306,apps_test_1576,"Decrypt a string that was encrypted using the Right-Left cipher.
The Right-Left cipher encrypts by starting with the first character,
then alternating between appending to the right (even positions) and
prepending to the left (odd positions) for subsequent characters.","predicate ValidInput(t: string)
{
    |t| >= 1
}","method solve(t: string) returns (result: string)
    requires ValidInput(t)
    ensures |result| == |t|",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,4,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0306,14
DA0515,apps,DA0515,apps_test_4267,"Given a room temperature in degrees Celsius, determine whether to turn on an air conditioner.
The air conditioner should be turned on if and only if the temperature is 30°C or higher.","predicate ValidTemperature(temp: int)
{
    -40 <= temp <= 40
}

function ExpectedOutput(temp: int): string
{
    if temp >= 30 then ""Yes\n"" else ""No\n""
}

predicate CorrectOutput(temp: int, output: string)
{
    output == ExpectedOutput(temp)
}","method solve(X: int) returns (result: string)
    requires ValidTemperature(X)
    ensures CorrectOutput(X, result)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,5,False,False,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0515,14
DA0673,apps,DA0673,apps_test_4718,"Given a date string in format ""2017/01/dd"" where dd represents a day from 01 to 31,
replace the year ""2017"" with ""2018"" and output the corrected date string.","predicate ValidInput(dateStr: string) 
{
    |dateStr| == 10 && dateStr[0..4] == ""2017""
}

predicate ValidOutput(input: string, output: string)
    requires |input| >= 4
{
    output == ""2018"" + input[4..] &&
    |output| == 10 &&
    output[0..4] == ""2018"" &&
    output[4..] == input[4..]
}","method solve(dateStr: string) returns (result: string)
    requires ValidInput(dateStr)
    ensures ValidOutput(dateStr, result)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only; spec has few semantic-strength tokens,candidate_only_needs_manual_validation,6,False,False,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0673,14
DA0003,apps,DA0003,apps_test_11,"Given n tiles numbered 1 to n, paint tiles according to rules:
- Tile can be painted Red if divisible by a (gives p chocolates)
- Tile can be painted Blue if divisible by b (gives q chocolates)  
- If divisible by both a and b, choose the color giving more chocolates
Find the maximum total chocolates possible.","predicate ValidInput(n: int, a: int, b: int, p: int, q: int) {
  n > 0 && a > 0 && b > 0 && p > 0 && q > 0
}

function gcd(a: int, b: int): int
  requires a > 0 && b >= 0
  ensures gcd(a, b) > 0
  decreases b
{
  if b == 0 then a else gcd(b, a % b)
}","method solve(n: int, a: int, b: int, p: int, q: int) returns (result: int)
  requires ValidInput(n, a, b, p, q)
  ensures result >= 0",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,7,True,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0003,12
DA0010,apps,DA0010,apps_test_56,"Simulate pouring champagne into a pyramid of glasses for t seconds.
The pyramid has n levels where level i has i glasses (1-indexed).
Each second, 1 unit is poured into the top glass. Each glass has capacity 1.
When a glass overflows, excess champagne splits equally to the two glasses below.
Count the number of completely full glasses after t seconds.","predicate ValidInput(n: int, t: int) {
  1 <= n <= 10 && 0 <= t <= 10000
}

function TotalGlasses(n: int): int {
  n * (n + 1) / 2
}

predicate ValidResult(result: int, n: int, t: int) {
  result >= 0 && result <= TotalGlasses(n)
}

predicate CorrectForEdgeCases(result: int, n: int, t: int) {
  (t == 0 ==> result == 0) &&
  (n == 1 && t >= 1 ==> result == 1) &&
  (n == 1 && t == 0 ==> result == 0) &&
  (t >= 1 && n > 1 ==> result >= 1)
}","method solve(n: int, t: int) returns (result: int)
  requires ValidInput(n, t)
  ensures ValidResult(result, n, t)
  ensures CorrectForEdgeCases(result, n, t)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,8,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0010,12
DA0045,apps,DA0045,apps_test_181,"Given a camera rotation angle in degrees, determine the minimum number of 90-degree 
clockwise rotations needed to minimize the image's deviation from vertical orientation.
When a camera rotates by x degrees, the image appears rotated by -x degrees.","function NormalizeAngle(angle: int): int
{
    var n := angle % 360;
    if n < 0 then n + 360 else n
}

function DeviationFromVertical(angle: int): int
    requires 0 <= angle < 360
{
    if angle <= 180 then angle else 360 - angle
}

function ImageAngleAfterRotations(cameraAngle: int, rotations: int): int
    requires 0 <= rotations <= 3
{
    NormalizeAngle(-cameraAngle + 90 * rotations)
}

function ImageDeviationAfterRotations(cameraAngle: int, rotations: int): int
    requires 0 <= rotations <= 3
{
    DeviationFromVertical(ImageAngleAfterRotations(cameraAngle, rotations))
}

predicate IsOptimalRotations(cameraAngle: int, result: int)
    requires 0 <= result <= 3
{
    forall k :: 0 <= k <= 3 ==> 
        var result_deviation := ImageDeviationAfterRotations(cameraAngle, result);
        var k_deviation := ImageDeviationAfterRotations(cameraAngle, k);
        result_deviation < k_deviation || (result_deviation == k_deviation && result <= k)
}","method solve(x: int) returns (result: int)
    ensures 0 <= result <= 3
    ensures IsOptimalRotations(x, result)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,9,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0045,12
DA0082,apps,DA0082,apps_test_448,"Given n children numbered 1 to n, where child i needs at least a_i candies.
Children initially line up in order 1, 2, ..., n.
Distribution algorithm:
1. Give m candies to the first child in line
2. If the child has received enough candies (≥ a_i), they go home
3. Otherwise, the child goes to the end of the line
4. Repeat until all children go home
Find which child goes home last.","predicate ValidInput(n: int, m: int, a: seq<int>) {
    n > 0 && m > 0 && |a| == n && forall i :: 0 <= i < |a| ==> a[i] > 0
}

predicate ValidResult(result: int, n: int) {
    1 <= result <= n
}

function SumCandiesStillNeeded(queue: seq<seq<int>>): nat
    requires forall child :: child in queue ==> |child| == 3 && child[0] >= 0 && child[1] > 0
{
    if |queue| == 0 then 0
    else
        var child := queue[0];
        var stillNeeded := if child[1] <= child[0] then 0 else child[1] - child[0];
        stillNeeded + SumCandiesStillNeeded(queue[1..])
}","method solve(n: int, m: int, a: seq<int>) returns (result: int)
    requires ValidInput(n, m, a)
    ensures ValidResult(result, n)",high,trivial_postcondition,formal postcondition appears to contain only weak result/range/shape constraints; spec appears trivial or shape/range-only,candidate_only_needs_manual_validation,10,False,True,C:\Users\Philip Nilsson\OneDrive - Mälardalens Tekniska Gymnasium\Skrivbordet\Hackathon apartresearch The Secure Program Synthesis\verified_but_wrong\external_vericoding_cases\candidate_DA0082,12
